Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,3,476479,0.34
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,4,259185,0.18
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,all,1740513,1.0
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,3+,935413,0.54
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,1,258382,0.15
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,2,546719,0.31
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,3,795931,0.46
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,4,139481,0.08
Mar 2026,SSD,14203031,Central Equatoria,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,all,1740513,1.0
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,3+,935413,0.54
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,1,258382,0.15
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,2,546719,0.31
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,3,795931,0.46
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,4,139481,0.08
Mar 2026,SSD,14203031,Central Equatoria,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,all,746534,1.0
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,3+,293642,0.39
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,1,149307,0.2
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,2,303585,0.41
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,3,238303,0.32
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,4,55339,0.07
Mar 2026,SSD,14203031,Western Bahr El Ghazal,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,all,746534,1.0
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,3+,293642,0.39
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,1,149307,0.2
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,2,303585,0.41
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,3,238303,0.32
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,4,55339,0.07
Mar 2026,SSD,14203031,Western Bahr El Ghazal,second projection,2026-04-01,2026-07-31,5,0,0.0
